incident_id,timestamp,attack_type,target_system,severity,confidence_score,affected_users,country,remediation_status,target_label
1123,2025-09-05 19:10:00,Prompt Injection,Image Classifier,5,0.55,3653,Russia,,malicious
1124,2025-09-18 16:06:00,Adversarial Example,Chatbot,4,0.6,496,USA,Open,benign
1125,2025-09-01 03:26:00,Prompt Injection,Chatbot,3,1.0,504,China,Open,malicious
1126,2025-09-15 22:38:00,Model Evasion,Fraud Detection,1,0.77,3386,India,,benign
1127,2025-09-16 12:41:00,Data Poisoning,Image Classifier,4,0.64,2208,USA,In Progress,malicious
1128,2025-09-17 06:19:00,Model Evasion,Chatbot,4,1.0,4813,USA,In Progress,malicious
1129,2025-09-29 20:03:00,Data Poisoning,Image Classifier,4,0.98,3216,Brazil,Closed,malicious
1130,2025-09-16 13:23:00,Data Poisoning,Image Classifier,4,0.72,,USA,,benign
1131,2025-09-13 14:21:00,Data Poisoning,Recommendation Engine,3,0.63,1408,Brazil,Open,malicious
1132,2025-09-11 07:00:00,Model Evasion,Fraud Detection,4,0.92,4364,USA,Closed,malicious
1133,2025-09-29 00:22:00,Data Poisoning,Fraud Detection,5,0.86,4077,USA,In Progress,malicious
1134,2025-09-05 10:14:00,Model Evasion,Fraud Detection,2,0.84,1477,India,In Progress,malicious
1135,2025-09-02 03:58:00,Adversarial Example,Recommendation Engine,4,0.95,4960,Germany,,malicious
1136,2025-09-24 11:47:00,Prompt Injection,Recommendation Engine,3,0.84,2397,China,Open,benign
1137,2025-09-12 05:58:00,Prompt Injection,Fraud Detection,4,0.64,109,China,Open,malicious
1138,2025-09-07 21:14:00,Data Poisoning,Recommendation Engine,4,0.85,3554,India,Closed,malicious
1139,2025-09-20 08:50:00,Model Evasion,Recommendation Engine,1,0.65,,USA,In Progress,malicious
1140,2025-09-16 11:39:00,Prompt Injection,Recommendation Engine,4,0.88,1499,China,Closed,malicious
1141,2025-09-30 13:17:00,Model Evasion,Fraud Detection,2,0.81,595,USA,Closed,malicious
1142,2025-09-02 20:53:00,Model Evasion,Fraud Detection,4,0.54,978,China,Closed,malicious
1143,2025-09-21 11:07:00,Data Poisoning,Fraud Detection,3,0.76,730,USA,Open,malicious
1144,2025-09-21 15:23:00,Prompt Injection,Recommendation Engine,4,0.67,56,USA,In Progress,malicious
1145,2025-09-03 12:27:00,Data Poisoning,Fraud Detection,1,0.66,2243,China,Closed,malicious
1146,2025-09-19 00:19:00,Data Poisoning,Recommendation Engine,4,0.8,1701,USA,In Progress,malicious
1147,2025-09-30 19:41:00,Prompt Injection,Chatbot,2,0.66,1286,USA,In Progress,malicious
1148,2025-09-16 03:54:00,Prompt Injection,Recommendation Engine,5,0.89,111,Germany,Closed,malicious
1149,2025-09-13 12:47:00,Adversarial Example,Image Classifier,5,0.54,4806,China,Closed,malicious
1150,2025-09-19 03:05:00,Adversarial Example,Fraud Detection,99,0.83,1201,Russia,,malicious
1151,2025-09-08 02:30:00,Model Evasion,Fraud Detection,4,0.9,947,Germany,Open,malicious
1152,2025-09-11 21:47:00,Prompt Injection,Image Classifier,4,0.84,4121,USA,In Progress,malicious
1153,2025-09-16 06:16:00,Adversarial Example,Recommendation Engine,2,0.75,757,Germany,Closed,malicious
1154,2025-09-17 12:16:00,Model Evasion,Chatbot,2,0.98,3388,USA,Closed,malicious
1155,2025-09-21 21:20:00,Model Evasion,Image Classifier,3,0.65,1841,India,In Progress,malicious
1156,2025-09-01 21:46:00,Model Evasion,Image Classifier,4,0.51,3535,Brazil,Closed,malicious
1157,2025-09-05 16:56:00,Adversarial Example,Recommendation Engine,5,0.72,2293,China,,malicious
1158,2025-09-19 22:11:00,Prompt Injection,Fraud Detection,2,0.52,1104,Germany,In Progress,malicious
1159,2025-09-07 13:54:00,Data Poisoning,Recommendation Engine,5,0.98,661,USA,Closed,malicious
1160,2025-09-28 23:34:00,Model Evasion,Image Classifier,4,0.6,908,China,In Progress,malicious
1161,2025-09-16 05:59:00,Adversarial Example,Image Classifier,4,high,4617,Russia,Closed,malicious
1162,2025-09-04 20:10:00,Adversarial Example,Fraud Detection,2,0.89,1856,USA,Closed,malicious
1163,2025-09-21 08:40:00,Data Poisoning,Fraud Detection,1,0.61,2311,USA,Open,malicious
1164,2025-09-03 14:28:00,Data Poisoning,Fraud Detection,3,0.81,789,China,In Progress,malicious
1165,2025-09-23 04:48:00,Adversarial Example,Recommendation Engine,4,0.52,171,Germany,Open,malicious
1166,2025-09-23 14:42:00,Prompt Injection,Fraud Detection,2,0.74,4360,USA,Closed,malicious
1167,2025-09-10 09:45:00,Data Poisoning,Image Classifier,3,0.51,1986,Russia,In Progress,benign
1168,2025-09-01 11:03:00,Adversarial Example,Image Classifier,5,0.96,1885,USA,In Progress,malicious
1169,2025-09-25 03:26:00,Data Poisoning,Chatbot,5,0.99,475,USA,,benign
1170,2025-09-06 13:14:00,Prompt Injection,Recommendation Engine,5,0.61,1049,Germany,,malicious
1171,2025-09-20 11:01:00,Model Evasion,Chatbot,2,0.6,4129,USA,Closed,malicious
1172,2025-09-22 01:03:00,Data Poisoning,Image Classifier,2,0.88,2311,Germany,Closed,malicious
1173,2025-09-03 07:04:00,Prompt Injection,Chatbot,4,0.63,1161,USA,Closed,malicious
1174,2025-09-28 07:53:00,Adversarial Example,Image Classifier,3,0.95,815,USA,Closed,malicious
1175,2025-09-13 06:35:00,Data Poisoning,Chatbot,1,0.79,3766,USA,,malicious
1176,2025-09-17 14:58:00,Data Poisoning,Fraud Detection,2,0.68,2922,Russia,In Progress,malicious
1177,2025-09-17 10:24:00,Adversarial Example,Chatbot,3,0.92,753,China,Open,malicious
1178,2025-09-02 03:16:00,Model Evasion,Fraud Detection,2,0.75,4661,India,In Progress,benign
1179,2025-09-14 22:40:00,Adversarial Example,Fraud Detection,2,0.96,461,USA,In Progress,malicious
1180,2025-09-20 06:08:00,Data Poisoning,Recommendation Engine,2,0.96,3239,China,,malicious
1181,2025-09-19 13:36:00,Adversarial Example,Fraud Detection,1,0.58,2702,China,In Progress,malicious
1182,2025-09-20 21:53:00,Prompt Injection,Fraud Detection,4,0.5,80,Russia,In Progress,malicious
1183,2025-09-27 01:05:00,Adversarial Example,Chatbot,3,0.99,2804,Germany,Closed,malicious
1184,2025-09-01 14:14:00,Data Poisoning,Image Classifier,4,0.95,869,Germany,Open,malicious
1185,2025-09-18 01:08:00,Adversarial Example,Recommendation Engine,2,0.53,4694,USA,In Progress,benign
1186,2025-09-27 19:43:00,Model Evasion,Fraud Detection,2,0.92,806,China,In Progress,malicious
1187,2025-09-06 03:12:00,Adversarial Example,Recommendation Engine,4,0.73,1934,China,Open,malicious
1188,2025-09-15 23:16:00,Model Evasion,Chatbot,3,0.63,703,Russia,Closed,malicious
1189,2025-09-27 18:39:00,Prompt Injection,Fraud Detection,3,0.94,2523,USA,,malicious
1190,2025-09-19 06:29:00,Model Evasion,Chatbot,2,0.6,2639,USA,,malicious
1191,2025-09-16 05:19:00,Adversarial Example,Recommendation Engine,5,0.97,4582,China,In Progress,malicious
1192,2025-09-04 10:11:00,Data Poisoning,Chatbot,2,0.6,3909,USA,Closed,malicious
1193,2025-09-23 21:30:00,Model Evasion,Recommendation Engine,3,0.81,4801,USA,,malicious
1194,2025-09-09 19:28:00,Prompt Injection,Chatbot,4,0.61,1164,Russia,,malicious
1195,2025-09-18 14:22:00,Model Evasion,Recommendation Engine,3,0.77,619,China,,malicious
1196,2025-09-26 19:17:00,Model Evasion,Image Classifier,2,0.84,3066,Russia,,malicious
1197,2025-09-02 14:47:00,Model Evasion,Chatbot,3,0.6,4872,India,,malicious
1198,2025-09-29 07:32:00,Prompt Injection,Chatbot,4,0.76,446,USA,In Progress,malicious
1199,2025-09-29 03:45:00,Adversarial Example,Image Classifier,2,0.73,2337,China,,malicious
1200,2025-09-01 03:17:00,Model Evasion,Image Classifier,1,0.54,208,USA,In Progress,malicious
1201,2025-09-17 07:49:00,Model Evasion,Chatbot,2,0.91,2460,Russia,Open,malicious
1202,2025-09-25 02:18:00,Data Poisoning,Image Classifier,5,0.67,3442,China,Open,malicious
1203,2025-09-11 11:27:00,Prompt Injection,Fraud Detection,1,0.79,2711,USA,Closed,malicious
1204,2025-09-16 17:51:00,Model Evasion,Recommendation Engine,99,0.76,2337,USA,In Progress,malicious
1205,2025-09-18 11:44:00,Prompt Injection,Recommendation Engine,3,0.76,1291,China,Closed,malicious
1206,2025-09-20 08:08:00,Model Evasion,Recommendation Engine,99,0.55,2198,USA,Open,malicious
1207,2025-09-30 05:47:00,Adversarial Example,Fraud Detection,5,0.71,1400,USA,Open,malicious
1208,2025-09-15 08:26:00,Adversarial Example,Image Classifier,3,0.73,4950,India,Open,malicious
1209,2025-09-11 21:48:00,Model Evasion,Image Classifier,2,0.87,2655,India,Open,malicious
1210,2025-09-19 07:30:00,Adversarial Example,Chatbot,1,0.92,4012,USA,,malicious
1211,2025-09-02 22:51:00,Model Evasion,Image Classifier,2,0.77,704,China,Open,malicious
1212,2025-09-05 13:06:00,Adversarial Example,Chatbot,4,0.54,825,Russia,,malicious
1213,2025-09-25 03:14:00,Data Poisoning,Fraud Detection,2,0.62,1004,USA,,malicious
1214,2025-09-21 23:26:00,Data Poisoning,Recommendation Engine,2,0.58,3460,Russia,Closed,malicious
1215,2025-09-29 13:06:00,Data Poisoning,Recommendation Engine,3,0.56,376,USA,,malicious
1216,2025-09-08 22:11:00,Prompt Injection,Recommendation Engine,5,0.68,972,Germany,Closed,malicious
1217,2025-09-03 00:31:00,Prompt Injection,Image Classifier,2,0.61,4213,China,,benign
1218,2025-09-02 04:54:00,Data Poisoning,Chatbot,1,0.61,3076,China,,malicious
1219,2025-09-13 15:47:00,Prompt Injection,Chatbot,1,high,443,Russia,Open,malicious
1220,2025-09-07 00:40:00,Adversarial Example,Fraud Detection,5,0.51,754,USA,In Progress,malicious
1221,2025-09-14 10:40:00,Model Evasion,Image Classifier,4,0.55,3604,USA,,malicious
1222,2025-09-13 17:43:00,Model Evasion,Fraud Detection,2,0.59,4735,China,In Progress,malicious
1223,2025-09-04 23:59:00,Model Evasion,Chatbot,1,0.72,2171,India,In Progress,malicious
1224,2025-09-17 00:38:00,Data Poisoning,Chatbot,2,0.76,2705,USA,In Progress,benign
1225,2025-09-25 09:53:00,Prompt Injection,Recommendation Engine,1,0.57,3465,India,,malicious
1226,2025-09-08 17:11:00,Adversarial Example,Image Classifier,5,0.71,2711,USA,In Progress,malicious
1227,2025-09-27 01:04:00,Adversarial Example,Chatbot,4,0.67,2407,USA,,malicious
1228,2025-09-02 06:02:00,Data Poisoning,Recommendation Engine,3,0.59,622,India,Open,malicious
1229,2025-09-06 15:55:00,Adversarial Example,Image Classifier,5,0.5,1723,USA,,malicious
1230,2025-09-06 15:20:00,Adversarial Example,Fraud Detection,2,0.73,3322,China,Closed,malicious
1231,2025-09-28 08:24:00,Adversarial Example,Image Classifier,4,0.84,1919,USA,Open,malicious
1232,2025-09-16 05:18:00,Adversarial Example,Image Classifier,5,0.61,918,USA,In Progress,malicious
1233,2025-09-15 04:45:00,Prompt Injection,Chatbot,2,0.57,4215,Germany,In Progress,malicious
1234,2025-09-22 01:06:00,Adversarial Example,Chatbot,4,0.94,581,China,Closed,malicious
1235,2025-09-12 13:26:00,Model Evasion,Image Classifier,2,0.64,3881,China,Open,malicious
1236,2025-09-22 13:45:00,Data Poisoning,Chatbot,2,0.61,1686,China,Closed,malicious
1237,2025-09-18 11:59:00,Prompt Injection,Chatbot,1,0.93,3909,USA,In Progress,malicious
1238,2025-09-30 03:36:00,Adversarial Example,Chatbot,3,0.91,1999,China,,malicious
1239,2025-09-12 08:51:00,Prompt Injection,Recommendation Engine,4,high,2711,Brazil,In Progress,benign
1240,2025-09-09 05:15:00,Adversarial Example,Recommendation Engine,5,0.74,400,Russia,Closed,malicious
1241,2025-09-02 10:09:00,Model Evasion,Image Classifier,4,0.61,3648,USA,,malicious
1242,2025-09-22 22:56:00,Data Poisoning,Chatbot,5,0.54,2628,USA,,benign
1243,2025-09-27 12:31:00,Adversarial Example,Recommendation Engine,5,0.79,1656,Russia,In Progress,malicious
1244,2025-09-15 12:52:00,Adversarial Example,Image Classifier,1,0.55,620,China,,malicious
1245,2025-09-21 17:35:00,Adversarial Example,Chatbot,3,0.72,246,China,Open,malicious
1246,2025-09-05 23:18:00,Adversarial Example,Fraud Detection,1,0.97,3339,India,In Progress,malicious
1247,2025-09-30 20:56:00,Data Poisoning,Chatbot,4,0.98,3010,USA,In Progress,malicious
1248,2025-09-06 03:20:00,Data Poisoning,Chatbot,5,0.62,4719,China,Open,malicious
1249,2025-09-30 14:42:00,Model Evasion,Recommendation Engine,1,0.81,2368,Brazil,In Progress,malicious
1250,2025-09-11 12:31:00,Data Poisoning,Image Classifier,4,0.74,3994,Germany,Closed,malicious
1251,2025-09-01 19:14:00,Adversarial Example,Image Classifier,4,0.94,1839,USA,Closed,malicious
1252,2025-09-04 02:59:00,Model Evasion,Recommendation Engine,3,0.64,2903,USA,In Progress,malicious
1253,2025-09-05 08:55:00,Model Evasion,Chatbot,3,0.5,4395,USA,Open,malicious
1254,2025-09-09 11:03:00,Model Evasion,Fraud Detection,2,0.58,4498,India,,malicious
1255,2025-09-21 08:19:00,Adversarial Example,Chatbot,1,0.67,3691,USA,Open,malicious
1256,2025-09-09 22:34:00,Prompt Injection,Chatbot,2,0.66,3841,USA,Closed,malicious
1257,2025-09-23 17:11:00,Adversarial Example,Fraud Detection,1,0.9,4348,Russia,In Progress,malicious
1258,2025-09-04 20:19:00,Data Poisoning,Recommendation Engine,3,0.84,1392,USA,Open,malicious
1259,2025-09-30 10:45:00,Data Poisoning,Image Classifier,1,0.65,3750,USA,,malicious
1260,2025-09-02 18:37:00,Adversarial Example,Recommendation Engine,5,0.73,4255,USA,,malicious
1261,2025-09-27 15:20:00,Adversarial Example,Recommendation Engine,3,0.55,3008,USA,,malicious
1262,2025-09-12 10:42:00,Model Evasion,Chatbot,4,0.95,4300,China,,malicious
1263,2025-09-02 12:40:00,Adversarial Example,Image Classifier,3,0.97,3338,Russia,Open,malicious
1264,2025-09-03 01:21:00,Model Evasion,Image Classifier,3,0.99,3514,Russia,,malicious
1265,2025-09-15 19:57:00,Data Poisoning,Recommendation Engine,5,0.93,4953,China,Closed,benign
1266,2025-09-09 07:29:00,Model Evasion,Fraud Detection,1,0.59,759,China,,malicious
1267,2025-09-02 23:49:00,Adversarial Example,Recommendation Engine,2,0.52,2768,China,Closed,malicious
1268,2025-09-20 21:23:00,Data Poisoning,Fraud Detection,4,0.79,3088,USA,Open,benign
1269,2025-09-18 04:16:00,Prompt Injection,Image Classifier,1,0.96,2115,USA,Closed,malicious
1270,2025-09-27 17:07:00,Model Evasion,Recommendation Engine,1,0.59,4228,Russia,Open,benign
1271,2025-09-17 04:48:00,Data Poisoning,Chatbot,2,0.5,1723,USA,,malicious
1272,2025-09-18 23:16:00,Model Evasion,Recommendation Engine,1,0.9,2966,USA,In Progress,malicious
1273,2025-09-15 18:55:00,Data Poisoning,Image Classifier,3,0.54,429,China,Closed,malicious
1274,2025-09-03 18:27:00,Data Poisoning,Chatbot,2,0.71,2355,China,Closed,malicious
1275,2025-09-16 13:19:00,Model Evasion,Chatbot,5,0.84,2459,USA,In Progress,malicious
1276,2025-09-24 14:26:00,Prompt Injection,Fraud Detection,4,0.62,4192,USA,Open,malicious
1277,2025-09-15 12:00:00,Data Poisoning,Chatbot,4,0.54,1718,USA,Open,malicious
