Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/5/2012 2:00,19.1,18.2,95,17,25,100.35,Rain
1/22/2012 14:00,-9.4,-14.8,65,9,16.1,102.74,Cloudy
10/25/2012 23:00,9.3,6.6,83,9,25,101.45,Clear
4/18/2012 22:00,8.4,-4.1,,0,25,101.53,Mostly Cloudy
10/20/2012 4:00,12.4,11.9,97,7,11.3,99.83,Cloudy
11/14/2012 5:00,-4.7,-6.6,,4,25,103.09,Clear
5/10/2012 13:00,10.4,6,74,26,24.1,99.46,Cloudy
9/21/2012 20:00,15.7,15.2,97,4,25,101.01,Cloudy
8/5/2012 15:00,29,24.4,76,13,24.1,100.31,Mostly Cloudy
1/20/2012 4:00,-6,-10.2,72,19,16.1,100.87,Snow
9/27/2012 21:00,9.4,5.5,77,7,25,,Clear
5/5/2012 1:00,7.9,3.4,,11,25,101.32,Mainly Clear
4/10/2012 7:00,5,1.5,,9,24.1,99.48,Cloudy
11/15/2012 5:00,-2.9,-6,79,13,25,102.94,Mainly Clear
2/22/2012 16:00,2.9,0.3,83,19,24.1,99.31,Mainly Clear
10/22/2012 1:00,8,3.9,75,26,25,100.77,Mainly Clear
2/11/2012 11:00,-13.1,-18.8,62,11,24.1,101.03,Snow
9/28/2012 16:00,14.2,10,,17,24.1,101.33,Mostly Cloudy
6/12/2012 0:00,22.7,16.3,67,19,25,101.08,Mostly Cloudy
10/9/2012 18:00,13.2,4.8,57,20,25,101.44,Mostly Cloudy
4/29/2012 12:00,7.4,-10.5,,24,48.3,101.62,Clear
10/25/2012 4:00,6.9,-0.5,59,15,25,101.85,Mainly Clear
5/13/2012 7:00,14.2,12,87,13,24.1,,Rain
1/20/2012 6:00,-7.6,-14.3,59,28,25,,Cloudy
1/12/2012 8:00,-7.1,-11.3,72,33,6.4,100.61,Snow
5/5/2012 10:00,9.4,1.2,57,11,48.3,,Mainly Clear
8/4/2012 14:00,32,18.3,,17,24.1,101.48,Clear
9/30/2012 6:00,11,9.6,91,13,19.3,100.9,Cloudy
8/1/2012 1:00,21,19.6,,,25,100.54,Clear
8/2/2012 21:00,26.8,15.5,50,24,25,100.53,Cloudy
7/26/2012 4:00,20.6,14.2,,6,25,100,Cloudy
2/12/2012 18:00,-12.3,-20.1,52,24,25,100.57,Mostly Cloudy
3/25/2012 2:00,5.9,-5,45,9,25,100.91,Rain Showers
4/21/2012 13:00,6.1,3.7,,19,24.1,100.65,Rain
2/3/2012 0:00,-9.7,-12.5,,4,25,102.33,Mostly Cloudy
7/1/2012 11:00,24.6,14.4,,19,48.3,100.5,Mainly Clear
1/12/2012 2:00,-9.4,,64,26,25,101.08,Cloudy
2/20/2012 14:00,-3.1,-10.5,57,17,48.3,102.07,Mainly Clear
3/22/2012 2:00,15,8.7,,7,25,101.59,Clear
11/19/2012 7:00,-4.6,-7.1,83,9,16.1,102.99,Clear
2/12/2012 0:00,-15,-22.4,53,11,25,100.66,Clear
1/13/2012 23:00,-7.6,-11.2,75,35,9.7,99.51,"Snow,Blowing Snow"
11/5/2012 11:00,1.7,-7.4,51,17,48.3,101.47,Mostly Cloudy
1/1/2012 23:00,5.3,2,,30,25,99.31,Cloudy
2/24/2012 1:00,-1.7,-5.1,78,4,25,,Clear
7/7/2012 21:00,24.5,14.7,54,11,25,100.48,Mostly Cloudy
8/9/2012 0:00,22.8,17.7,73,9,25,,Mainly Clear
12/23/2012 18:00,-7.2,-10,,11,12.9,100.4,Snow
3/10/2012 13:00,-3.2,,,7,48.3,102.89,Mainly Clear
11/9/2012 10:00,2.3,-3.3,66,19,48.3,101.36,Cloudy
5/19/2012 15:00,25.6,7.8,,15,48.3,,Mostly Cloudy
9/2/2012 19:00,20.9,8.4,45,13,48.3,101.51,Mainly Clear
5/15/2012 9:00,18.7,14.5,77,9,24.1,101.2,Cloudy
9/21/2012 18:00,15.9,,,19,19.3,100.95,Cloudy
1/22/2012 1:00,-17.5,-21.3,72,4,25,102.64,Clear
2/8/2012 4:00,-14,-21,55,4,25,102.13,Clear
6/7/2012 11:00,20.1,10.5,,7,48.3,101.02,Mainly Clear
1/4/2012 21:00,-7.6,-11.6,73,7,11.3,100.54,Snow
6/28/2012 2:00,17.6,13.4,76,7,25,100.16,Cloudy
12/25/2012 20:00,-9.4,-12.6,77,13,25,102.3,Mainly Clear
10/7/2012 23:00,6.5,1.4,70,15,25,101.44,Rain Showers
9/2/2012 0:00,16.1,9,63,4,25,101.47,Clear
12/28/2012 8:00,-5.2,-7,87,17,24.1,101.15,Mostly Cloudy
1/29/2012 15:00,0.2,-7.5,56,17,24.1,,Mostly Cloudy
2/27/2012 13:00,-4.9,-11.6,59,19,48.3,101.41,Cloudy
4/10/2012 9:00,5.7,,76,15,24.1,,Mostly Cloudy
3/8/2012 2:00,7.9,-1.2,53,17,25,100.81,Mostly Cloudy
10/31/2012 15:00,10.2,8.6,90,4,24.1,99.28,Rain Showers
6/29/2012 7:00,21.4,16.7,,20,24.1,99.65,Mainly Clear
6/29/2012 14:00,29.8,17.1,,33,48.3,99.44,Mainly Clear
11/19/2012 13:00,4.9,-0.4,69,6,19.3,102.64,Mainly Clear
2/11/2012 1:00,-7.4,-8.9,89,24,3.6,100.83,Snow
10/26/2012 23:00,12.7,10.9,89,9,16.1,101.4,Mainly Clear
1/2/2012 9:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy
9/13/2012 2:00,16.3,12.9,80,11,25,101.98,Mainly Clear
6/25/2012 21:00,16.6,12.3,,13,25,100.13,Cloudy
